recno,C,Seq,RAJ2000,DEJ2000,logPB,WAV,errPos,Angle,FB,e_FB,E_FB,SB,e_SB,E_SB,HB,e_HB,E_HB,Ph,CPCat,CPoff,CPNote,RAWdeg,DEWdeg,RmagW,RAGSdeg,DEGSdeg,zmagGS,RAGdeg,DEGdeg,zmagG,RACdeg,DECdeg,F125Wmag,RATdeg,DETdeg,KsmagT,RASdeg,DESdeg,3_6mag,RAVdeg,DEVdeg,VLAmag,zspec,q_zspec,r_zspec,zL10,zR11,zH14,zS14,zS15,zS16,zF,r_zF,e_zF,E_zF,FExp,SExp,HExp,BR,e_BR,E_BR,Gamma,e_Gamma,E_Gamma,FFB,FSB,FHB,LX,NH,LXc,OType,f_X11ID,X11ID,f_X16ID,X16ID,R13ID,CCat,zCat
745,M,745,53.165116,-27.785902,-15.3,-8,0.37,2.79,46.8,8.7,9.9,31.9,6.4,7.6,15.1,6.1,7.4,,CANDELS,0.22,,53.165168,-27.785836,24.84,53.165155,-27.785854,22.85,53.165151,-27.785871,23.01,53.165158,-27.785854,21.56,53.165138,-27.78587,20.48,53.165153,-27.785874,20.15,,,,1.317,Secure,8,1.32,1.33,1.32,1.32,1.22,1.32,1.317,zSpec,,,6180000.0,6200000.0,6150000.0,0.476,0.18,0.305,1.77,0.49,0.47,8.18e-17,3.64e-17,4.55e-17,inf,9.09e+20,inf,AGN,,545,,,,3,3
727,M,727,53.161751,-27.780238,-4.1,-5,0.5,2.8,18.5,6.8,8.1,13.0,4.6,5.8,14.1,-1.0,-1.0,,CANDELS,0.41,,53.161641,-27.780234,22.65,53.161626,-27.780226,21.32,53.161618,-27.780256,21.49,53.161623,-27.780232,20.64,53.16161,-27.780245,19.75,53.161623,-27.780254,20.15,,,,0.619,Secure,20,,0.64,0.62,0.63,0.53,0.62,0.619,zSpec,,,6280000.0,6300000.0,6250000.0,0.537,-1.0,-1.0,1.65,-1.0,-1.0,3.28e-17,1.43e-17,-4.24e-17,inf,2.14e+21,inf,Galaxy,,,,,,3,2
718,M,718,53.160527,-27.77626,-9.7,-8,0.44,2.89,28.3,7.6,8.8,23.7,5.7,6.9,12.7,-1.0,-1.0,,CANDELS,0.57,,53.160547,-27.776102,24.68,53.16056,-27.776104,24.59,53.160537,-27.776121,24.98,53.160586,-27.776111,23.54,53.160564,-27.776102,22.44,53.160573,-27.776174,22.07,,,,,,,2.54,2.38,2.55,2.57,2.63,2.61,2.547,H14,0.04,0.03,6080000.0,6100000.0,6050000.0,0.244,-1.0,-1.0,2.44,-1.0,-1.0,4.45e-17,3.08e-17,-3.57e-17,inf,0.0,inf,AGN,,525,,,,5,7
648,M,648,53.144678,-27.785457,-4.9,-6,0.45,1.89,17.9,6.0,7.3,12.3,4.2,5.4,13.1,-1.0,-1.0,,CANDELS,0.15,,53.144712,-27.785429,22.61,53.144709,-27.785421,22.6,53.144706,-27.785431,22.61,53.144712,-27.785429,22.39,53.144699,-27.785416,22.47,53.144753,-27.785444,23.07,,,,0.247,Secure,16,,0.25,0.25,0.26,0.27,0.25,0.247,zSpec,,,6000000.0,6010000.0,5970000.0,0.504,-1.0,-1.0,1.73,-1.0,-1.0,3.26e-17,1.45e-17,-4.08e-17,inf,5.53e+20,inf,Galaxy,,,,,,4,3
655,M,655,53.146067,-27.779862,-10.3,-8,0.4,2.17,27.9,7.0,8.2,21.5,5.3,6.5,13.8,-1.0,-1.0,,CANDELS,0.24,,,,,53.146143,-27.779858,25.87,,,,53.146141,-27.779857,24.38,53.146175,-27.779949,22.25,53.146153,-27.779874,21.74,,,,,,,,2.64,2.3,2.58,2.62,2.61,2.301,H14,0.05,0.07,5990000.0,6010000.0,5960000.0,0.355,-1.0,-1.0,2.07,-1.0,-1.0,4.68e-17,2.66e-17,-4.12e-17,inf,0.0,inf,AGN,,482,,,,9,3
597,M,597,53.134001,-27.780956,,-8,0.17,1.73,351.2,20.6,21.8,115.6,11.4,12.6,236.4,17.2,18.5,,CANDELS,0.07,,,,,53.134022,-27.780956,27.14,,,,53.134021,-27.78095,24.96,53.134022,-27.780949,23.31,53.134043,-27.781004,22.47,,,,,,,3.42,2.92,2.39,2.68,2.6,2.87,2.393,H14,0.09,0.28,6330000.0,6340000.0,6300000.0,2.059,0.232,0.278,0.36,0.12,0.11,9.82e-16,1.13e-16,8.69e-16,inf,4.35e+23,inf,AGN,,444,,,212,6,6
600,M,600,53.135233,-27.781615,-4.8,-6,0.5,1.73,11.7,5.4,6.6,12.1,4.2,5.4,6.9,-1.0,-1.0,,CANDELS,0.15,,53.135235,-27.781666,25.04,53.135245,-27.781661,23.9,53.135242,-27.781675,23.94,53.135242,-27.781656,22.99,53.135231,-27.781662,22.14,53.135273,-27.781704,21.67,,,,1.435,Secure,24,,1.16,1.43,1.43,1.35,1.4,1.435,zSpec,,,6290000.0,6310000.0,6260000.0,0.206,-1.0,-1.0,2.6,-1.0,-1.0,1.74e-17,1.56e-17,-1.81e-17,inf,0.0,inf,Galaxy,,,,,212,3,2
703,M,703,53.155767,-27.779212,-6.0,-8,0.43,2.58,26.8,7.2,8.5,15.0,4.7,5.9,11.9,5.6,6.9,,CANDELS,0.43,,53.155664,-27.77931,23.9,53.155647,-27.779255,23.31,53.155656,-27.779301,23.53,53.155642,-27.779259,22.26,53.155628,-27.779276,21.52,53.155643,-27.779304,21.23,,,,1.846,Secure,19,,2.3,1.92,1.81,1.76,1.79,1.846,zSpec,,,6080000.0,6090000.0,6040000.0,0.799,0.377,0.708,1.27,0.62,0.63,5.6e-17,1.64e-17,3.95e-17,inf,4.53e+22,inf,Galaxy,,512,,,,8,4
689,M,689,53.151897,-27.775392,-8.8,-7,0.39,2.58,37.0,8.3,9.5,10.4,4.2,5.4,26.6,7.1,8.4,,CANDELS,0.7,,53.151751,-27.775413,23.54,53.151779,-27.775404,22.32,53.151711,-27.775398,22.48,53.151678,-27.775365,22.26,53.151768,-27.775417,20.91,53.151883,-27.775434,20.55,,,,1.038,Secure,16,,0.91,1.09,1.03,1.04,,1.038,zSpec,,,6060000.0,6080000.0,6030000.0,2.576,1.038,1.689,0.14,0.48,0.5,1.18e-16,1.05e-17,1.07e-16,inf,1.23e+23,inf,AGN,,,,,,5,3
690,M,690,53.152688,-27.775274,-15.3,-8,0.37,2.62,43.4,8.4,9.6,31.1,6.3,7.5,12.3,5.7,7.1,,CANDELS,0.24,,53.152778,-27.775278,23.99,53.152784,-27.775278,22.36,53.152758,-27.775293,22.45,53.152764,-27.77527,21.52,53.152737,-27.77528,20.81,53.152683,-27.775274,20.63,,,,0.999,Secure,5,0.95,1.01,0.93,0.95,0.9,0.94,0.999,zSpec,,,6070000.0,6080000.0,6040000.0,0.399,0.174,0.299,1.95,0.55,0.56,7.42e-17,3.72e-17,3.7e-17,inf,0.0,inf,Galaxy,,505,,,,6,4
