recno,C,Seq,RAJ2000,DEJ2000,logPB,WAV,errPos,Angle,FB,e_FB,E_FB,SB,e_SB,E_SB,HB,e_HB,E_HB,Ph,CPCat,CPoff,CPNote,RAWdeg,DEWdeg,RmagW,RAGSdeg,DEGSdeg,zmagGS,RAGdeg,DEGdeg,zmagG,RACdeg,DECdeg,F125Wmag,RATdeg,DETdeg,KsmagT,RASdeg,DESdeg,3_6mag,RAVdeg,DEVdeg,VLAmag,zspec,q_zspec,r_zspec,zL10,zR11,zH14,zS14,zS15,zS16,zF,r_zF,e_zF,E_zF,FExp,SExp,HExp,BR,e_BR,E_BR,Gamma,e_Gamma,E_Gamma,FFB,FSB,FHB,LX,NH,LXc,OType,f_X11ID,X11ID,f_X16ID,X16ID,R13ID,CCat,zCat
566,M,566,53.125808,-28.005221,-17.0,-8,0.99,11.96,120.5,17.6,18.8,79.5,11.9,13.1,41.0,13.2,14.4,E,TENIS,1.16,,53.125808,-28.005501,22.19,,,,,,,,,,53.125813,-28.005543,20.49,53.125803,-28.005494,20.66,,,,2.31,Secure,16,2.28,2.3,2.32,,,,2.31,zSpec,,,296000.0,276000.0,325000.0,0.437,0.141,0.192,1.67,0.37,0.39,4.04e-15,1.67e-15,2.37e-15,inf,1.14e+22,inf,AGN,,424,,509,11,1,3
1033,S,25,53.112604,-28.000181,-1.2,-5,1.78,11.65,16.7,12.5,13.7,17.4,-1.0,-1.0,25.5,-1.0,-1.0,E,TENIS,1.06,,53.112251,-28.000203,24.2,,,,,,,,,,53.112274,-28.000223,22.48,53.112263,-28.000174,22.62,,,,,,,,1.21,1.34,,,,1.343,H14,0.01,0.02,329000.0,314000.0,354000.0,-1.0,-1.0,-1.0,1.4,-1.0,-1.0,5.47e-16,-3.05e-16,-1.43e-15,inf,1.81e+22,inf,AGN,,,,,,1,1
474,M,474,53.108951,-27.980431,-10.0,-7,0.75,10.47,148.1,26.3,27.5,72.7,15.8,17.0,75.5,21.2,22.4,,TENIS,1.79,,53.109354,-27.980814,17.14,,,,,,,,,,53.109306,-27.980816,15.92,53.109293,-27.980764,17.49,,,,,,,0.13,0.13,0.13,,,,0.126,H14,0.01,0.01,1460000.0,1340000.0,1620000.0,0.858,0.268,0.397,1.1,0.39,0.39,1.3e-15,3.26e-16,9.75e-16,inf,6.45e+21,inf,Galaxy,,363,,,,1,2
262,M,262,53.061306,-27.985625,-9.7,-8,0.91,11.18,110.5,20.5,21.7,50.7,12.0,13.1,59.9,16.8,18.0,E,TENIS,0.63,,,,,,,,,,,,,,53.061161,-27.985743,23.5,53.061213,-27.985624,22.58,,,,,,,3.88,,,,,,3.877,L10,0.31,0.32,406000.0,363000.0,464000.0,0.923,0.302,0.434,1.05,0.41,0.42,3.13e-15,7.47e-16,2.38e-15,inf,3.02e+23,inf,AGN,,,,439,22,1,1
424,M,424,53.098885,-27.979305,-14.6,-8,0.68,10.44,197.4,28.9,30.1,49.9,15.6,16.8,147.5,24.3,25.4,,TENIS,0.81,,53.099128,-27.979317,18.78,,,,,,,,,,53.099136,-27.979349,17.16,53.099123,-27.979294,17.81,53.099155,-27.979311,17.88,0.122,Secure,11,,0.16,0.16,,,,0.122,zSpec,,,1430000.0,1320000.0,1580000.0,2.467,0.802,1.072,0.04,0.36,0.4,2.6e-15,2.06e-16,2.4e-15,inf,2.9e+22,inf,AGN,,324,,,27,1,1
398,M,398,53.093895,-27.968066,,-8,0.68,9.8,149.6,28.8,30.0,124.5,18.4,19.5,56.2,-1.0,-1.0,,TENIS,0.63,,,,,,,,,,,,,,53.09404,-27.968184,11.94,,,,,,,0.0,Secure,3,0.0,,0.33,,,,0.0,zSpec,,,2170000.0,2050000.0,2340000.0,0.218,-1.0,-1.0,2.51,-1.0,-1.0,6.72e-16,4.75e-16,-4.06e-16,,-1.0,,Star,,307,,472,,0,1
949,M,949,53.257069,-27.97177,,-8,0.43,12.39,1967.3,53.1,54.2,1252.1,39.5,40.7,716.2,35.8,37.0,E,GEMS,0.24,,53.257107,-27.971855,20.5,,,,53.257053,-27.971835,20.22,,,,53.257057,-27.971853,19.7,53.257053,-27.971834,19.26,,,,1.843,Secure,16,1.38,1.84,,,,,1.843,zSpec,,,208000.0,172000.0,254000.0,0.387,0.023,0.023,1.7,0.06,0.06,4.51e-14,1.9e-14,2.6e-14,inf,5.62e+21,inf,AGN,,696,,703,33,2,3
941,M,941,53.252455,-27.962423,,-8,0.64,11.79,443.0,29.3,30.4,236.2,19.7,20.9,207.0,21.8,23.0,E,GEMS,0.65,,53.25254,-27.96265,23.54,,,,53.252517,-27.962595,22.54,,,,53.252529,-27.962618,20.25,53.252523,-27.962604,19.79,,,,0.512,Secure,12,0.52,0.53,1.35,,,,0.512,zSpec,,,318000.0,274000.0,374000.0,0.642,0.08,0.095,1.33,0.14,0.14,1.05e-14,3.27e-15,7.26e-15,inf,7.45e+21,inf,AGN,,690,,691,1021,1,3
996,M,996,53.302327,-27.930989,,-8,0.72,12.33,381.7,27.6,28.8,271.2,19.8,20.9,110.7,19.7,20.9,E,GEMS,0.74,,53.302603,-27.930989,20.25,,,,53.302559,-27.930969,19.85,,,,53.302563,-27.930975,19.41,53.302563,-27.930964,19.15,53.302613,-27.930922,19.0,2.561,Secure,12,,0.1,2.54,,,,2.561,zSpec,,,46800.0,37200.0,59100.0,0.257,0.045,0.055,1.94,0.2,0.2,1.53e-14,7.61e-15,7.66e-15,inf,0.0,inf,AGN,,,,801,62,1,1
721,M,721,53.161011,-27.996025,-4.3,-5,1.16,11.63,63.4,17.5,18.7,32.3,-1.0,-1.0,45.5,14.5,15.7,E,TENIS,0.53,,,,,,,,,,,,,,53.161167,-27.995975,23.76,,,,,,,,,,,2.14,1.84,,,,1.836,H14,0.79,0.13,525000.0,469000.0,602000.0,1.924,-1.0,-1.0,0.24,-1.0,-1.0,2.03e-15,-3.65e-16,1.87e-15,inf,2.88e+23,inf,AGN,,,,,,0,1
729,M,729,53.161998,-27.988317,,-8,0.69,11.18,258.3,25.2,26.4,77.9,13.6,14.8,180.5,21.2,22.4,,GEMS,0.86,,53.161973,-27.988516,22.36,,,,53.161947,-27.988552,21.36,,,,53.161934,-27.988548,19.77,53.161933,-27.988494,19.21,53.162113,-27.988533,19.14,1.156,Secure,16,1.21,1.21,1.2,,,,1.156,zSpec,,,685000.0,631000.0,759000.0,1.928,0.39,0.429,0.24,0.2,0.23,6.5e-15,6.5e-16,5.85e-15,inf,1.29e+23,inf,AGN,,532,,546,21,1,2
790,M,790,53.179173,-27.969205,-10.7,-7,0.71,10.32,164.2,28.0,29.2,47.9,-1.0,-1.0,136.6,24.1,25.3,,GEMS,0.53,,53.179399,-27.969138,22.74,,,,53.179336,-27.969171,21.77,,,,53.17934,-27.969168,20.12,53.179283,-27.969144,20.22,,,,0.67,Secure,16,,0.73,0.67,,,,0.67,zSpec,,,1660000.0,1530000.0,1830000.0,3.874,-1.0,-1.0,-0.42,-1.0,-1.0,2.12e-15,-1.63e-16,2.07e-15,inf,1.16e+23,inf,AGN,,576,,567,36,1,1
781,M,781,53.175636,-27.964267,-10.3,-8,0.66,9.98,180.4,31.0,32.2,61.3,16.3,17.5,119.2,26.5,27.7,,GEMS,0.59,,53.175897,-27.964234,21.35,,,,53.175821,-27.964286,20.5,,,,53.175823,-27.964283,19.2,53.175793,-27.964254,19.52,53.175821,-27.964283,19.5,0.661,Secure,16,0.64,0.64,1.16,,,,0.661,zSpec,,,2400000.0,2210000.0,2650000.0,1.624,0.492,0.72,0.46,0.37,0.37,1.22e-15,1.57e-16,1.06e-15,inf,4.89e+22,inf,AGN,,569,,,,1,2
882,M,882,53.214397,-27.978467,-7.1,-6,1.06,11.54,80.1,17.0,18.1,32.8,9.5,10.7,47.3,14.1,15.4,E,GEMS,0.92,,53.214745,-27.978444,25.1,,,,53.214685,-27.978479,24.6,,,,53.214695,-27.978453,22.02,53.214663,-27.978444,21.79,,,,3.195,Secure,12,,3.23,3.15,,,,3.195,zSpec,,,137000.0,113000.0,168000.0,0.968,0.354,0.553,0.86,0.47,0.48,4.54e-15,8.99e-16,3.64e-15,inf,3.16e+23,inf,AGN,,,,628,1014,1,1
870,M,870,53.205783,-27.970338,-12.4,-8,0.81,10.91,141.1,23.0,24.2,46.4,12.1,13.3,94.8,19.6,20.8,,TENIS,0.47,,53.205907,-27.970243,26.96,,,,,,,,,,53.205898,-27.970257,22.97,53.205843,-27.970244,22.13,,,,,,,,3.33,2.36,,,2.34,2.362,H14,0.08,0.12,767000.0,684000.0,879000.0,1.589,0.484,0.63,0.49,0.34,0.38,2.9e-15,3.86e-16,2.51e-15,inf,3.52e+23,inf,AGN,,,,612,35,1,1
934,M,934,53.247823,-27.947206,,-8,0.77,10.92,168.0,21.3,22.5,68.9,12.2,13.3,99.1,17.6,18.9,E,GEMS,0.42,,53.247818,-27.947095,26.5,,,,53.247768,-27.947101,24.13,,,,53.247746,-27.947067,21.44,53.247713,-27.947074,20.88,,,,,,,,1.27,1.33,,,1.42,1.33,H14,0.05,0.05,553000.0,490000.0,634000.0,1.111,0.247,0.331,0.89,0.27,0.27,4.15e-15,8.46e-16,3.3e-15,inf,6.2e+22,inf,AGN,,,,680,53,1,1
837,M,837,53.191385,-27.962919,-8.3,-8,0.75,10.19,129.7,27.9,29.0,84.8,16.6,17.7,82.0,-1.0,-1.0,,GEMS,1.13,,53.191507,-27.962595,17.05,,,,53.191446,-27.96261,16.54,,,,53.191471,-27.962597,15.83,53.191463,-27.962614,17.84,53.19153,-27.962505,17.65,0.103,Secure,11,0.1,0.1,0.1,,,,0.103,zSpec,,,1860000.0,1700000.0,2080000.0,0.479,-1.0,-1.0,1.73,-1.0,-1.0,7.75e-16,3.43e-16,-7.51e-16,inf,3.91e+20,inf,AGN,,609,,590,,1,2
1048,S,40,53.193726,-27.9536,-1.7,-5,1.03,9.73,39.8,20.7,23.2,24.1,12.9,15.4,42.5,-1.0,-1.0,C,TENIS,0.41,,53.193904,-27.953644,21.79,,,,53.193815,-27.953672,20.41,,,,53.193829,-27.953671,18.65,53.193793,-27.953664,19.07,,,,0.769,Secure,20,0.77,0.77,0.77,,,,0.769,zSpec,,,2420000.0,2250000.0,2640000.0,0.645,-1.0,-1.0,1.36,-1.0,-1.0,2.63e-16,8.69e-17,-4.34e-16,inf,1.01e+22,inf,Galaxy,,615,,594,,1,2
838,M,838,53.192155,-27.953164,-3.2,-8,0.85,9.67,71.6,23.9,26.4,34.9,14.9,17.4,72.3,-1.0,-1.0,C,GEMS,0.07,,,,,,,,53.192151,-27.953144,25.04,,,,53.192162,-27.953157,23.52,,,,,,,,,,,,2.56,,,0.91,2.564,H14,1.76,4.44,2650000.0,2470000.0,2900000.0,0.95,-1.0,-1.0,0.95,-1.0,-1.0,5.06e-16,1.09e-16,-7.35e-16,inf,1.91e+23,inf,AGN,,610,,,,0,0
863,M,863,53.204226,-27.936151,-3.3,-6,0.74,9.05,83.6,30.0,31.1,51.1,16.8,18.0,67.8,-1.0,-1.0,,GOODS-S,0.86,,,,,53.204405,-27.935972,24.36,53.204386,-27.935974,24.23,,,,53.204365,-27.935974,21.14,53.204353,-27.935974,20.58,,,,,,,,1.01,,,,1.38,1.379,S16,0.07,0.06,3820000.0,3560000.0,4180000.0,0.714,-1.0,-1.0,1.32,-1.0,-1.0,2.67e-16,9.08e-17,-3.25e-16,inf,2.45e+22,inf,AGN,,,,,,2,1
880,M,880,53.213915,-27.928973,,-8,0.51,8.97,253.6,33.5,34.6,88.1,17.7,18.8,165.6,28.6,29.7,,GOODS-S,0.48,,53.213938,-27.928756,25.42,53.213886,-27.928841,24.5,53.213902,-27.928832,23.77,,,,53.213875,-27.928793,20.74,53.213893,-27.928824,20.23,,,,,,,,1.39,1.45,,,1.49,1.448,H14,0.03,0.03,3780000.0,3500000.0,4150000.0,1.585,0.388,0.477,0.51,0.27,0.28,1.08e-15,1.46e-16,9.34e-16,inf,1.33e+23,inf,AGN,,648,,624,,4,2
571,M,571,53.127036,-27.98604,-9.2,-8,0.83,10.81,124.3,23.2,24.4,40.4,12.8,13.9,83.9,19.4,20.6,E,GEMS,1.73,,53.127262,-27.986521,17.89,,,,53.127282,-27.98647,17.51,,,,53.127277,-27.986465,16.43,,,,53.127321,-27.986477,17.24,0.124,Secure,18,,0.1,0.12,,,,0.124,zSpec,,,909000.0,847000.0,993000.0,1.771,0.618,0.899,0.32,0.41,0.43,2.3e-15,2.54e-16,2.05e-15,inf,2.17e+22,inf,AGN,,,,,23,0,1
493,M,493,53.112081,-27.975429,-5.9,-5,0.77,10.17,120.4,27.8,28.9,43.7,15.7,16.8,76.8,23.0,24.2,,SEDS,1.77,,53.112192,-27.974958,23.63,,,,,,,,,,53.112194,-27.974993,22.97,53.112173,-27.974944,22.25,,,,,,,,2.14,2.54,,,,2.539,H14,0.01,0.01,1920000.0,1770000.0,2110000.0,1.476,0.619,1.006,0.54,0.52,0.55,9.81e-16,1.38e-16,8.43e-16,inf,3.83e+23,inf,AGN,,,,,,1,1
519,M,519,53.118434,-27.96928,-9.3,-8,0.66,9.79,163.2,29.6,30.7,83.2,16.8,17.9,80.1,24.8,25.9,,TENIS,0.79,,53.118331,-27.969451,19.15,,,,,,,,,,53.118343,-27.969484,17.7,53.118343,-27.969434,18.76,53.118405,-27.969366,18.28,0.212,Secure,11,0.22,0.22,0.53,,,,0.212,zSpec,,,2460000.0,2280000.0,2690000.0,0.817,0.274,0.388,1.17,0.4,0.42,8.45e-16,2.26e-16,6.2e-16,inf,6.65e+21,inf,AGN,,387,,,,1,2
584,M,584,53.130936,-27.957335,,-8,0.41,9.1,553.3,38.9,40.1,333.9,24.7,25.9,219.9,30.7,32.0,,GOODS-S,0.14,,53.130909,-27.957266,21.58,53.130911,-27.957302,20.52,53.1309,-27.957314,20.56,,,,53.130898,-27.957306,18.95,53.130903,-27.957274,19.23,,,,0.617,Secure,11,0.6,0.64,0.63,,,,0.617,zSpec,,,3850000.0,3590000.0,4190000.0,0.564,0.083,0.098,1.57,0.17,0.16,1.64e-15,6.27e-16,1.02e-15,inf,3.48e+21,inf,AGN,,433,,513,,2,2
697,M,697,53.154904,-27.963525,-3.1,-5,0.96,9.65,82.5,-1.0,-1.0,48.4,16.3,17.4,36.3,-1.0,-1.0,,GEMS,0.71,,53.155084,-27.963362,18.41,,,,53.15507,-27.963393,17.85,,,,53.155071,-27.963394,17.02,53.155043,-27.963344,18.09,53.155071,-27.963339,18.72,0.126,Secure,16,0.13,0.13,0.01,,,0.14,0.126,zSpec,,,2880000.0,2670000.0,3150000.0,0.222,-1.0,-1.0,2.53,-1.0,-1.0,-2.89e-16,1.46e-16,-1.94e-16,inf,0.0,inf,Galaxy,,507,,,,1,2
730,M,730,53.162117,-27.950134,,-8,0.26,8.96,9562.8,109.4,110.5,2416.9,54.2,55.3,7151.0,95.1,96.3,,GEMS,0.13,,53.162253,-27.95017,18.98,,,,53.162111,-27.950169,18.65,,,,53.162125,-27.950172,17.28,53.162123,-27.950144,17.88,53.162155,-27.950144,18.29,0.298,Secure,11,0.31,0.28,0.28,,,0.13,0.298,zSpec,,,4170000.0,3920000.0,4500000.0,2.578,0.068,0.067,0.02,0.03,0.03,4.38e-14,3.42e-15,4.04e-14,inf,4.23e+22,inf,AGN,,533,,547,48,1,2
593,M,593,53.132583,-27.95358,,-8,0.45,8.89,363.3,35.6,36.9,93.1,17.9,19.0,270.5,30.9,32.1,,GOODS-S,0.83,,53.132463,-27.953884,25.05,53.132656,-27.953801,24.88,53.132643,-27.953811,25.15,,,,53.132622,-27.953812,21.86,53.132643,-27.953774,21.39,,,,,,,,1.51,,,,,1.508,R11,0.06,0.04,4100000.0,3850000.0,4420000.0,2.533,0.512,0.654,0.04,0.23,0.23,1.69e-15,1.36e-16,1.56e-15,inf,2.45e+23,inf,AGN,,440,,514,1023,3,3
638,M,638,53.142203,-27.944521,,-8,0.42,8.41,377.0,35.1,36.3,192.3,20.7,21.9,185.0,28.7,29.9,,CANDELS,0.34,,,,,,,,,,,53.142281,-27.944458,24.74,53.142311,-27.944412,22.39,53.142363,-27.944444,21.53,53.142321,-27.944311,19.56,,,,3.0,,2.64,2.88,2.9,3.13,2.643,H14,0.12,0.08,4840000.0,4620000.0,5110000.0,0.87,0.152,0.18,1.13,0.19,0.19,1.02e-15,2.62e-16,7.57e-16,inf,1.32e+23,inf,AGN,,469,,,,3,2
532,M,532,53.120768,-27.958422,,-8,0.28,9.14,1832.4,54.7,55.9,1086.1,38.1,39.2,747.5,39.7,40.9,,GOODS-S,0.17,,53.120804,-27.958401,21.06,53.120821,-27.958425,19.78,,,,,,,53.120819,-27.958431,18.1,53.120823,-27.958394,18.39,,,,0.619,Secure,8,0.56,0.77,0.65,,,,0.619,zSpec,,,3700000.0,3460000.0,4020000.0,0.592,0.037,0.038,1.52,0.06,0.07,5.71e-15,2.08e-15,3.63e-15,inf,4.54e+21,inf,AGN,,396,,502,42,3,2
649,M,649,53.144695,-27.925948,-19.4,-8,0.43,7.33,218.6,29.3,31.6,110.7,18.8,20.9,108.7,23.1,25.5,C,CANDELS,4.73,Pair+Manual+Off-nuclear,53.146153,-27.925805,16.35,53.146169,-27.925818,15.69,53.146164,-27.925818,15.66,53.146171,-27.925795,15.16,53.146149,-27.925812,14.63,53.146143,-27.925784,16.84,,,,0.038,Secure,2,0.05,0.05,0.01,0.16,0.06,0.04,0.038,zSpec,,,5570000.0,5440000.0,5730000.0,0.931,0.233,0.288,1.07,0.27,0.29,5.67e-16,1.38e-16,4.29e-16,inf,5.65e+21,inf,Galaxy,,477,,527,,1,0
539,M,539,53.122139,-27.938728,-4.1,-8,0.6,7.96,102.8,28.9,30.1,53.1,-1.0,-1.0,71.3,24.5,25.7,,CANDELS,0.32,,53.122021,-27.938717,25.88,53.12204,-27.938723,25.04,53.12203,-27.938723,25.1,53.12204,-27.938727,24.28,53.12204,-27.938734,23.66,53.122083,-27.938714,22.6,,,,4.762,Secure,8,,4.69,4.69,4.76,4.49,4.84,4.762,zSpec,,,5190000.0,4990000.0,5460000.0,2.093,-1.0,-1.0,0.26,-1.0,-1.0,3.5e-16,-6.18e-17,3.18e-16,inf,1.24e+24,inf,AGN,,403,,,,3,2
499,M,499,53.113323,-27.93323,-2.9,-5,0.76,7.63,62.8,-1.0,-1.0,41.4,14.6,15.7,27.4,-1.0,-1.0,,CANDELS,0.48,,53.113429,-27.933231,22.54,,,,53.113448,-27.933272,21.23,53.113464,-27.933276,20.1,53.113468,-27.93327,19.22,53.113533,-27.933294,19.13,53.113488,-27.933227,19.41,1.089,Secure,16,,1.06,1.02,1.09,1.0,1.08,1.089,zSpec,,,5430000.0,5250000.0,5670000.0,0.225,-1.0,-1.0,2.52,-1.0,-1.0,-1.15e-16,6.41e-17,-8.19e-17,inf,0.0,inf,Galaxy,,,,,,2,2
780,M,780,53.175346,-27.950533,,-8,0.27,9.19,2151.1,57.9,59.0,1954.9,49.3,50.4,196.6,31.5,32.7,,GEMS,0.95,,53.175071,-27.950725,14.88,,,,53.17507,-27.950637,13.13,,,,53.175255,-27.950577,12.95,,,,,,,0.0,Secure,12,0.0,,2.16,,,,0.0,zSpec,,,3750000.0,3520000.0,4070000.0,0.087,0.013,0.015,3.48,0.16,0.17,6.38e-15,5.65e-15,7.32e-16,,-1.0,,Star,,567,,563,47,0,1
787,M,787,53.178406,-27.940382,-3.3,-5,0.83,8.68,102.2,-1.0,-1.0,50.5,16.7,17.9,48.1,-1.0,-1.0,,GEMS,1.35,,53.17881,-27.940545,19.21,,,,53.178776,-27.940563,18.71,,,,53.178787,-27.940517,17.95,53.178813,-27.940474,19.73,,,,0.232,Secure,16,,0.28,0.24,,,0.22,0.232,zSpec,,,4550000.0,4290000.0,4880000.0,0.35,-1.0,-1.0,2.06,-1.0,-1.0,-2.34e-16,8.67e-17,-1.77e-16,inf,0.0,inf,Galaxy,,572,,,,1,1
760,M,760,53.170107,-27.929669,,-8,0.23,7.92,1974.2,54.9,56.1,593.2,29.2,30.3,1382.2,46.6,47.8,,CANDELS,0.11,,53.170111,-27.929626,26.22,53.170151,-27.929627,25.61,,,,53.170129,-27.929644,23.92,53.170128,-27.929655,21.48,53.170133,-27.929634,21.14,53.170155,-27.929644,18.23,3.35,Insecure,17,3.53,3.44,2.98,3.34,3.32,2.44,3.35,zSpec,,,5430000.0,5220000.0,5710000.0,2.133,0.124,0.13,0.24,0.06,0.06,6.58e-15,6.58e-16,5.92e-15,inf,7.7e+23,inf,AGN,,556,,559,64,4,5
717,M,717,53.159556,-27.931333,,-8,0.37,7.84,417.9,33.8,34.9,265.0,21.9,23.0,153.2,26.3,27.5,,CANDELS,0.3,,,,,53.159643,-27.931402,25.82,,,,53.159641,-27.931367,23.76,53.159592,-27.931419,21.7,53.159633,-27.931404,20.81,,,,,,,1.83,2.06,3.1,1.95,1.82,1.7,1.829,L10,0.09,0.03,5460000.0,5260000.0,5710000.0,0.533,0.095,0.111,1.63,0.19,0.2,8.61e-16,3.45e-16,5.16e-16,inf,1.01e+22,inf,AGN,,524,,545,,3,3
794,M,794,53.179789,-27.920812,-6.3,-8,0.61,7.63,82.5,26.2,27.4,69.6,15.8,16.9,44.3,-1.0,-1.0,,CANDELS,0.46,,53.179997,-27.920715,24.08,53.179888,-27.920713,24.0,53.179916,-27.920747,24.84,53.17991,-27.920742,23.72,53.180012,-27.920715,20.8,53.180003,-27.920684,20.33,53.179946,-27.920589,19.14,2.122,Secure,7,2.45,2.55,2.09,1.61,2.32,2.08,2.122,zSpec,,,5460000.0,5290000.0,5680000.0,0.271,-1.0,-1.0,2.33,-1.0,-1.0,1.51e-16,1.02e-16,-1.35e-16,inf,0.0,inf,AGN,,,,,,8,5
757,M,757,53.169754,-27.918123,-5.2,-6,0.54,7.27,100.4,25.2,26.4,32.2,-1.0,-1.0,84.6,21.6,22.8,,CANDELS,0.25,,53.169913,-27.918157,22.31,53.169838,-27.918138,21.03,53.169829,-27.91815,21.02,53.169831,-27.91814,20.43,53.169823,-27.91815,19.41,53.169853,-27.918164,19.3,53.169738,-27.918089,19.36,0.978,Secure,8,,0.96,1.0,1.01,0.92,0.95,0.978,zSpec,,,5650000.0,5520000.0,5810000.0,4.176,-1.0,-1.0,-0.4,-1.0,-1.0,4e-16,-3.29e-17,3.98e-16,inf,1.83e+23,inf,AGN,,,,,,4,2
853,M,853,53.19859,-27.927609,-4.9,-6,0.61,8.46,119.1,30.3,31.4,37.6,15.6,16.7,81.6,26.1,27.3,,SEDS,0.84,,,,,,,,,,,,,,53.198189,-27.927441,24.04,53.198413,-27.927434,23.29,,,,,,,,3.12,1.83,,,3.8,1.828,H14,0.36,1.01,4610000.0,4370000.0,4940000.0,1.918,0.888,1.749,0.33,0.64,0.63,4.49e-16,4.98e-17,3.99e-16,inf,2.56e+23,inf,AGN,,,,,,1,1
832,M,832,53.190171,-27.926225,,-8,0.5,8.17,197.0,30.7,31.8,133.5,18.5,19.6,63.6,25.2,26.4,,GOODS-S,0.54,,53.190372,-27.926204,20.45,53.190338,-27.926202,20.33,53.190332,-27.926215,20.57,,,,53.190311,-27.926199,19.93,53.190343,-27.926224,21.0,,,,0.102,Secure,16,0.16,0.1,0.1,,,0.1,0.102,zSpec,,,4940000.0,4720000.0,5240000.0,0.429,0.168,0.237,1.86,0.45,0.51,4.28e-16,2.02e-16,2.26e-16,inf,0.0,inf,Galaxy,,604,,,,2,2
864,M,864,53.20484,-27.917988,,-8,0.31,8.15,893.4,42.0,43.2,532.8,28.5,29.7,361.5,31.4,32.6,,CANDELS,0.22,,53.2049,-27.917969,26.81,53.204883,-27.917942,25.07,,,,53.204858,-27.917928,23.75,53.204845,-27.917929,21.86,53.204883,-27.917964,21.17,,,,,,,2.28,1.7,2.3,2.3,2.25,2.69,2.299,H14,0.07,0.09,4750000.0,4520000.0,5050000.0,0.608,0.058,0.066,1.5,0.11,0.1,2.2e-15,7.9e-16,1.41e-15,inf,3.11e+22,inf,AGN,,633,,607,74,6,5
872,M,872,53.206938,-27.914979,,-8,0.25,8.07,1710.0,51.1,52.3,1360.2,41.5,42.6,350.7,30.7,31.9,,CANDELS,0.21,,53.206942,-27.914965,16.02,53.206915,-27.914984,16.03,53.206905,-27.914982,16.14,53.206935,-27.915038,15.59,53.206909,-27.91502,15.93,53.206903,-27.915024,16.92,,,,0.0,Secure,2,0.0,0.03,0.02,1.35,0.05,0.9,0.0,zSpec,,,4840000.0,4610000.0,5150000.0,0.231,0.02,0.023,2.5,0.1,0.09,3.56e-15,2.4e-15,1.16e-15,,-1.0,,Star,,639,,613,74,4,3
877,M,877,53.211196,-27.908297,-3.3,-8,0.63,7.88,85.0,27.9,29.1,48.1,15.7,16.8,72.9,-1.0,-1.0,,CANDELS,0.09,,53.211336,-27.908259,25.34,53.211232,-27.908279,23.58,53.211221,-27.908311,23.64,53.211222,-27.908288,21.75,53.211212,-27.908289,20.39,53.211233,-27.908314,19.97,,,,,,,,1.57,1.63,1.67,1.59,1.65,1.626,H14,0.03,0.03,5330000.0,5080000.0,5660000.0,0.774,-1.0,-1.0,1.25,-1.0,-1.0,2.03e-16,6.11e-17,-2.63e-16,inf,3.79e+22,inf,AGN,,646,,,,5,4
806,M,806,53.183544,-27.915116,,-8,0.31,7.41,615.2,35.4,36.6,368.7,23.6,24.8,246.9,26.8,28.0,,CANDELS,0.22,,53.183373,-27.91502,25.18,53.183584,-27.915057,26.69,,,,53.183566,-27.915059,24.94,,,,53.183493,-27.915064,22.52,,,,0.908,Insecure,9,3.2,,2.48,3.09,2.94,0.87,2.484,H14,0.16,0.23,5570000.0,5420000.0,5760000.0,0.63,0.074,0.085,1.47,0.13,0.13,1.3e-15,4.57e-16,8.47e-16,inf,4.04e+22,inf,AGN,,584,,575,76,9,4
823,M,823,53.187535,-27.910901,-12.6,-8,0.56,7.3,93.7,25.0,26.1,98.8,15.9,17.1,29.2,-1.0,-1.0,,CANDELS,0.25,,53.187612,-27.91098,19.69,53.187571,-27.910979,19.0,53.187565,-27.91097,19.0,53.187526,-27.910971,18.75,53.187531,-27.910976,17.87,53.187553,-27.910984,18.68,53.187613,-27.910894,18.7,0.459,Secure,2,0.45,0.45,0.42,0.45,0.46,0.43,0.459,zSpec,,,5670000.0,5530000.0,5860000.0,0.091,-1.0,-1.0,3.0,-1.0,-1.0,1.65e-16,1.61e-16,-7.98e-17,inf,0.0,inf,AGN,,597,,,,4,3
826,M,826,53.188615,-27.904132,-12.6,-8,0.45,6.98,162.7,25.9,27.1,44.8,-1.0,-1.0,136.1,22.5,23.7,,CANDELS,0.26,,,,,53.188548,-27.904123,23.56,53.188518,-27.904115,23.69,53.188537,-27.904114,22.38,53.188545,-27.904142,21.02,53.188603,-27.904154,20.63,,,,1.378,Secure,8,,1.33,1.34,1.43,1.42,1.45,1.378,zSpec,,,5630000.0,5520000.0,5770000.0,4.628,-1.0,-1.0,-0.5,-1.0,-1.0,6.74e-16,-4.58e-17,6.59e-16,inf,3.33e+23,inf,AGN,,599,,583,,6,6
842,M,842,53.193312,-27.903932,,-8,0.36,7.11,337.2,29.1,30.2,188.5,18.2,19.3,149.0,23.1,24.3,,CANDELS,0.28,,53.193398,-27.903842,20.9,53.193367,-27.903861,19.55,53.193347,-27.903859,19.62,53.193351,-27.903862,18.95,53.193348,-27.903872,17.87,53.193383,-27.903894,18.18,,,,0.664,Secure,2,0.72,0.64,0.68,0.66,0.67,0.67,0.664,zSpec,,,5480000.0,5360000.0,5640000.0,0.752,0.123,0.159,1.29,0.19,0.18,7.7e-16,2.31e-16,5.39e-16,inf,1.05e+22,inf,AGN,,614,,592,,4,3
