name,ra,dec,e_pos_raw,field,cat,F,e_pos_1sig,e_pos_95,tract,patch,DP1_flag,obj_flag,dia_flag,objectId,n_obj_inner,n_obj_outer,r_inner,r_outer,area_inner_asec2,area_outer_asec2,area_inner_deg2,area_outer_deg2,N_deg2,N_asec2
2CXO J002407.1-720545,6.029833333333333,-72.09606111111111,0.29,47Tuc,CSC2.1,2.369e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,3,0.5918367346938772,50.0,1.100415412779684,7853.981588163144,8.490859666509907e-08,0.0006060170978520945,4951.049066540606,0.0003820253909367752
2CXO J002416.9-720427,6.070791666666667,-72.07422222222222,0.29,47Tuc,CSC2.1,3.697e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,2,0.5918367346938772,50.0,1.100415412779684,7853.981588163144,8.490859666509907e-08,0.0006060170978520945,3300.6993776937375,0.00025468359395785015
2CXO J002406.4-720443,6.026625000000001,-72.07864444444444,0.29,47Tuc,CSC2.1,7.873e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,3,0.5918367346938772,90.0,1.100415412779684,25446.9000963501,8.490859666509907e-08,0.001963495377804792,1527.9535517654367,0.00011789765059918496
2CXO J002406.0-720456,6.024958333333334,-72.08230833333333,0.29,47Tuc,CSC2.1,3.061e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,2,0.5918367346938772,80.0,1.100415412779684,20106.192729177044,8.490859666509907e-08,0.0015514037599673649,1289.225614858518,9.947728509710788e-05
2CXO J002403.5-720452,6.014333333333333,-72.08116944444444,0.29,47Tuc,CSC2.1,4.469e-13,0.1479591836734693,0.29,453,52,True,False,False,,0,2,0.5918367346938772,90.0,1.100415412779684,25446.9000963501,8.490859666509907e-08,0.001963495377804792,1018.6357011769578,7.859843373278997e-05
2CXO J002403.4-720505,6.0145,-72.08481666666667,0.29,47Tuc,CSC2.1,4.498e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,2,0.5918367346938772,80.0,1.100415412779684,20106.192729177044,8.490859666509907e-08,0.0015514037599673649,1289.225614858518,9.947728509710788e-05
2CXO J002404.9-720451,6.020708333333333,-72.08094444444444,0.29,47Tuc,CSC2.1,1.575e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,4,0.5918367346938772,90.0,1.100415412779684,25446.9000963501,8.490859666509907e-08,0.001963495377804792,2037.2714023539156,0.00015719686746557994
2CXO J002407.8-720441,6.032541666666667,-72.07822777777777,0.29,47Tuc,CSC2.1,1.769e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,2,0.5918367346938772,80.0,1.100415412779684,20106.192729177044,8.490859666509907e-08,0.0015514037599673649,1289.225614858518,9.947728509710788e-05
2CXO J002402.1-720542,6.008875,-72.09504444444444,0.29,47Tuc,CSC2.1,7.882e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,3,0.5918367346938772,70.0,1.100415412779684,15393.803865314334,8.490859666509907e-08,0.0011877935081261062,2525.8720878072045,0.00019489753763944482
2CXO J002404.2-720457,6.017583333333334,-72.08283888888889,0.29,47Tuc,CSC2.1,5.663e-13,0.1479591836734693,0.29,453,52,True,False,False,,0,2,0.5918367346938772,80.0,1.100415412779684,20106.192729177044,8.490859666509907e-08,0.0015514037599673649,1289.225614858518,9.947728509710788e-05
2CXO J002402.8-720449,6.011750000000001,-72.08032222222222,0.29,47Tuc,CSC2.1,2.595e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,4,0.5918367346938772,100.0,1.100415412779684,31415.925907476696,8.490859666509907e-08,0.0024240683570583873,1650.1762842227447,0.00012732841699249575
2CXO J002400.9-720453,6.003958333333334,-72.08148333333332,0.29,47Tuc,CSC2.1,2.542e-13,0.1479591836734693,0.29,453,52,True,False,False,,0,3,0.5918367346938772,100.0,1.100415412779684,31415.925907476696,8.490859666509907e-08,0.0024240683570583873,1237.6322131670586,9.549631274437182e-05
2CXO J002415.9-720436,6.06625,-72.07680555555555,0.29,47Tuc,CSC2.1,4.347e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,2,0.5918367346938772,60.0,1.100415412779684,11309.733475083569,8.490859666509907e-08,0.0008726646199910163,2292.0542087829103,0.00017685603462831104
2CXO J002410.7-720425,6.044875,-72.07382222222222,0.29,47Tuc,CSC2.1,2.716e-14,0.1479591836734693,0.29,453,52,True,False,False,,0,3,0.5918367346938772,80.0,1.100415412779684,20106.192729177044,8.490859666509907e-08,0.0015514037599673649,1933.8384222877767,0.00014921592764566182
2CXO J002406.8-720512,6.028625000000001,-72.08680555555556,0.3,47Tuc,CSC2.1,2.603e-15,0.1530612244897959,0.3,453,52,True,False,False,,0,3,0.6122448979591836,70.0,1.1776089099650757,15393.803865314334,9.086488502816944e-08,0.0011877935081261062,2525.8847549698216,0.00019489851504396778
2CXO J002413.8-720302,6.057500000000001,-72.05062222222222,0.3,47Tuc,CSC2.1,7.536e-15,0.1530612244897959,0.3,453,52,True,False,False,,0,3,0.6122448979591836,140.0,1.1776089099650757,61575.213650875434,9.086488502816944e-08,0.004751173892814463,631.4349764810208,4.8721834605017045e-05
2CXO J002415.1-720443,6.06325,-72.07877222222221,0.3,47Tuc,CSC2.1,2.566e-15,0.1530612244897959,0.3,453,52,True,False,False,,0,3,0.6122448979591836,60.0,1.1776089099650757,11309.733475083569,9.086488502816944e-08,0.0008726646199910163,3438.1047819110736,0.00026528586280178047
2CXO J002408.3-720431,6.034625000000001,-72.07542777777778,0.3,47Tuc,CSC2.1,1.244e-14,0.1530612244897959,0.3,453,52,True,False,False,,0,3,0.6122448979591836,90.0,1.1776089099650757,25446.9000963501,9.086488502816944e-08,0.001963495377804792,1527.9581870466027,0.00011789800825976874
2CXO J002407.9-720454,6.033125,-72.08190833333333,0.3,47Tuc,CSC2.1,5.812e-15,0.1530612244897959,0.3,453,52,True,False,False,,0,4,0.6122448979591836,80.0,1.1776089099650757,20106.192729177044,9.086488502816944e-08,0.0015514037599673649,2578.4611297179335,0.00019895533408317392
2CXO J002411.1-720620,6.046375,-72.10558611111111,0.3,47Tuc,CSC2.1,7.741e-15,0.1530612244897959,0.3,453,52,True,False,False,,0,6,0.6122448979591836,30.0,1.1776089099650757,2827.4333836100886,9.086488502816944e-08,0.00021816615614275378,27513.433389888647,0.0021229501072444947
2CXO J002404.6-720453,6.019458333333334,-72.08161944444444,0.3,47Tuc,CSC2.1,2.469e-15,0.1530612244897959,0.3,453,52,True,False,False,,0,4,0.6122448979591836,90.0,1.1776089099650757,25446.9000963501,9.086488502816944e-08,0.001963495377804792,2037.2775827288035,0.00015719734434635832
2CXO J002406.0-720449,6.025291666666667,-72.08031388888888,0.3,47Tuc,CSC2.1,8.73e-15,0.1530612244897959,0.3,453,52,True,False,False,,0,4,0.6122448979591836,90.0,1.1776089099650757,25446.9000963501,9.086488502816944e-08,0.001963495377804792,2037.2775827288035,0.00015719734434635832
2CXO J002404.3-720501,6.018083333333334,-72.08373611111111,0.3,47Tuc,CSC2.1,6.424e-15,0.1530612244897959,0.3,453,52,True,False,False,,0,2,0.6122448979591836,80.0,1.1776089099650757,20106.192729177044,9.086488502816944e-08,0.0015514037599673649,1289.2305648589668,9.947766704158696e-05
2CXO J002404.2-720443,6.017666666666667,-72.07876944444445,0.3,47Tuc,CSC2.1,4.376e-15,0.1530612244897959,0.3,453,52,True,False,False,,0,4,0.6122448979591836,100.0,1.1776089099650757,31415.925907476696,9.086488502816944e-08,0.0024240683570583873,1650.1803390977716,0.00012732872986865524
