objectId,field_X,name_X,cat_X,F_X,ra_MIL,dec_MIL,RA_MIL,DEC_MIL,NAME_MIL,TYPE_MIL,RMAG_MIL,BMAG_MIL,COMMENT_MIL,R_MIL,B_MIL,Z_MIL,CITE_MIL,ZCITE_MIL,XNAME_MIL,RNAME_MIL,LOBE1_MIL,LOBE2_MIL,_dist_arcsec,otype_consolidated,F_opt,g_psfMag,i_psfMag,r_psfMag,u_psfMag,y_psfMag,z_psfMag,g_psfFlux,g_psfFluxErr,i_psfFlux,i_psfFluxErr,r_psfFlux,r_psfFluxErr,u_psfFlux,u_psfFluxErr,y_psfFlux,y_psfFluxErr,z_psfFlux,z_psfFluxErr,refExtendedness,near_bright_flag
611255759837089818,ECDFS,2CXO J033225.1-274403,CSC2.1,0.0,53.10459611977946,-27.734297511220976,53.1045876,-27.7342873,3D-HST 36224             ,A   ,18.52,20.79,p  ,-,1,0.076,GSAC  ,GSAC  ,                      ,                      ,                      ,                      ,0.0009323211434419,AGN,3.7988948029801227e-13,19.791525,18.666986,18.99276,21.232399,18.178175,18.394333,43993.668,20.991646,123938.234,42.865932,91811.234,30.145445,11669.183,101.90576,194415.2,423.46463,159318.8,69.19433,1.0,False
611255828556565104,ECDFS,2CXO J033218.8-274529,CSC2.1,0.0,53.07855460614646,-27.758201890094483,53.078543,-27.7582068,GDSS J033218.84-274529.2 ,Q   ,19.27,20.71,dN ,-,-,0.296,1967  ,1967  ,                      ,                      ,                      ,                      ,0.0009044185649137,QSO,1.1545587046097807e-13,21.636383,19.800955,20.276115,23.387503,19.24506,19.50788,8043.5327,13.332723,43613.25,30.535292,28154.9,18.529003,1603.2413,89.924385,72774.0,394.09763,57127.9,56.694443,1.0,False
611256447031849691,ECDFS,2CXO J033234.5-274041,CSC2.1,0.0,53.14395726658402,-27.67779512330089,53.1439476,-27.6778088,3D-HST 49285             ,Q   ,0.0,0.0,   ,x,x,2.053,GSAC  ,GSAC  ,                      ,                      ,                      ,                      ,0.007612686148323,QSO,4.742960063802133e-16,27.812098,26.249212,26.060114,25.89938,25.416763,27.500212,27.237127,13.9384775,114.89874,31.25048,136.75862,20.892036,158.57982,149.40033,247.33997,568.1683,36.30073,61.22109,0.0,False
611255759837092029,ECDFS,2CXO J033236.1-274257,CSC2.1,0.0,53.150709414123504,-27.71629378321953,53.1507378,-27.7162628,3D-HST 41370             ,Q   ,21.56,21.78,d  ,n,n,0.968,GSAC  ,GSAC  ,                      ,                      ,                      ,                      ,0.0006629901554284,QSO,1.9791648380403076e-14,22.761776,22.068304,22.513456,22.757174,21.568779,21.833895,2852.919,13.968261,5403.543,28.370348,3586.0574,17.78296,2865.0405,96.87018,8560.293,404.9541,6705.6655,55.561882,1.0,False
611255759837092809,ECDFS,4XMM J033227.7-274144,4XMMDR14,8.698626874684666e-15,53.11512266448756,-27.69589854659979,53.1151161,-27.6958771,CDFS J03324-2741A        ,NX  ,22.34,23.37,n  ,n,n,0.667,1834  ,1834  ,CXOG J033227.6-274145 ,                      ,4XMM J033227.4-274145 ,LSXPS J033227.4-274141,0.0007365331636008,AGN,1.808969825881277e-14,23.703064,21.843512,22.599478,24.30101,21.326078,21.265425,1198.8763,13.989676,6646.538,31.487938,3312.906,20.205025,691.1877,121.243866,10704.553,489.6307,11319.566,60.119526,1.0,False
611255622398135384,ECDFS,4XMM J033416.8-274504,4XMMDR14,6.498354778545698e-14,53.570405447768366,-27.75134293474742,53.5704039,-27.7513462,SWIRE3J033416.88-274504.8,QX  ,19.26,19.66,jG ,-,-,1.167,ATLAS ,ATLAS ,4XMM J033416.8-274504 ,                      ,LSXPS J033416.7-274505,                      ,0.0004432736746489,QSO,1.1005962771363808e-13,20.632812,20.410053,20.323042,20.822756,20.498497,20.567616,20270.99,35.255463,24887.342,55.895355,26963.941,37.38335,17017.59,182.68747,22940.395,615.9574,21525.543,126.701996,1.0,False
611255622398137075,ECDFS,4XMM J033408.2-274337,4XMMDR14,5.205032707470726e-14,53.53441098988024,-27.727195454768104,53.5344091,-27.727194,SVA1_COADD-2940011599    ,QX  ,18.89,21.27,j+G,-,-,1.028,OzDES2,OzDES2,4XMM J033408.2-274337 ,                      ,LSXPS J033408.4-274338,                      ,0.0005528203633932,QSO,1.4364606704432987e-13,20.337353,20.24313,20.122097,20.369205,20.047754,20.227837,26610.842,34.116467,29023.37,58.70118,32446.018,41.605236,25841.486,174.80547,34745.484,715.6508,29435.072,128.65968,1.0,False
611255622398132227,ECDFS,4XMM J033411.8-274801,4XMMDR14,4.523745473269253e-14,53.54945943076456,-27.8006267561047,53.5494788,-27.8006115,SVA1_COADD-2940004319    ,KX  ,19.13,20.72,pG ,-,-,0.63,OzDES2,RLAGN ,4XMM J033411.8-274801 ,                      ,LSXPS J033411.7-274804,                      ,0.0014526999839208,QSO,1.1921295857854e-13,20.690487,20.068027,20.406567,21.17218,19.819996,19.999582,19222.293,25.795033,34102.7,48.896477,24967.396,27.035624,12334.673,122.13351,42855.027,503.83643,36321.78,90.29139,1.0,False
611255622398130938,ECDFS,4XMM J033358.3-274848,4XMMDR14,2.1566404125863622e-14,53.49295222858739,-27.81355453901197,53.49292,-27.81353,SVA1_COADD-2940002610    ,QRX ,21.49,21.86,g  ,n,n,1.462,OzDES2,OzDES2,4XMM J033358.3-274848 ,VLAJ033358.29-274847.9,RACS J033358.3-274848 ,LSXPS J033358.3-274849,0.0005293344139388,QSO,7.056920693179138e-14,21.072702,21.003963,20.974514,21.008389,21.065384,21.077053,13518.214,19.33139,14401.724,34.23498,14797.7,19.701202,14343.163,122.544,13609.643,500.66672,13464.14,73.31188,1.0,False
611255622398130885,ECDFS,4XMM J033411.4-274855,4XMMDR14,7.641832994306416e-15,53.54756090413332,-27.81653307103303,53.547604,-27.816471,SVA1_COADD-2940002187    ,QX  ,23.05,22.77,n  ,n,n,2.353,OzDES2,OzDES2,4XMM J033411.4-274855 ,                      ,                      ,                      ,0.0009004018363651,QSO,3.1531095881223294e-15,24.497826,24.07324,24.462442,25.901777,23.371952,23.881454,576.594,18.20366,852.51807,36.758972,595.6939,19.346375,158.23021,119.98798,1626.368,489.23404,1017.22815,79.299194,1.0,False
