name,ra,dec,e_pos_raw,field,cat,F,e_pos_1sig,e_pos_95,tract,patch,DP1_flag,obj_flag,dia_flag,objectId
2CXO J002419.3-720334,6.080666666666667,-72.05966944444444,0.3,47Tuc,CSC2.1,1.01e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002405.2-720446,6.021750000000001,-72.07968333333334,0.3,47Tuc,CSC2.1,4.148e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002405.1-720435,6.0212916666666665,-72.07647222222222,0.3,47Tuc,CSC2.1,2.738e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002425.8-720703,6.10775,-72.1176611111111,0.3,47Tuc,CSC2.1,4.834e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002407.3-720449,6.030708333333333,-72.08038333333333,0.3,47Tuc,CSC2.1,,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002353.9-720350,5.975,-72.06393333333332,0.3,47Tuc,CSC2.1,1.635e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002353.5-720511,5.973041666666666,-72.08652222222221,0.3,47Tuc,CSC2.1,2.604e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002408.3-720435,6.034541666666667,-72.07663333333333,0.3,47Tuc,CSC2.1,7.855e-15,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002408.4-720500,6.035416666666666,-72.08345,0.3,47Tuc,CSC2.1,1.772e-14,0.1530612244897959,0.3,453,52,True,False,False,
2CXO J002403.8-720457,6.015875,-72.08250833333332,0.31,47Tuc,CSC2.1,1.998e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002408.5-720535,6.035833333333334,-72.09310555555555,0.31,47Tuc,CSC2.1,1.23e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002411.0-720444,6.046208333333333,-72.07889722222222,0.31,47Tuc,CSC2.1,1.447e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002409.2-720543,6.0385,-72.09552777777778,0.31,47Tuc,CSC2.1,2.556e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002415.2-720456,6.0637083333333335,-72.08242222222222,0.31,47Tuc,CSC2.1,5.19e-16,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002403.9-720442,6.016416666666667,-72.07850555555555,0.31,47Tuc,CSC2.1,2.005e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002404.9-720446,6.0205,-72.07950833333334,0.31,47Tuc,CSC2.1,1.785e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002413.9-720443,6.057916666666666,-72.07885,0.31,47Tuc,CSC2.1,1.121e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002359.4-720358,5.997624999999999,-72.06634444444444,0.31,47Tuc,CSC2.1,2.914e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002359.9-720504,5.99975,-72.08462499999999,0.31,47Tuc,CSC2.1,1.244e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002406.0-720501,6.0252083333333335,-72.08375555555556,0.31,47Tuc,CSC2.1,9.624e-16,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002407.2-720457,6.030125,-72.08264166666666,0.31,47Tuc,CSC2.1,1.196e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002407.5-720450,6.031625,-72.08066666666666,0.31,47Tuc,CSC2.1,1.698e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002407.1-720507,6.03,-72.08531388888889,0.31,47Tuc,CSC2.1,7.065e-16,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002407.2-720446,6.030208333333333,-72.07959166666666,0.31,47Tuc,CSC2.1,5.415e-16,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002410.4-720500,6.043666666666667,-72.08333333333333,0.31,47Tuc,CSC2.1,1.831e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002411.1-720520,6.046375,-72.08895833333332,0.31,47Tuc,CSC2.1,1.381e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002408.1-720513,6.034125,-72.08705277777777,0.31,47Tuc,CSC2.1,1.21e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002406.3-720439,6.026541666666667,-72.0775,0.31,47Tuc,CSC2.1,1.422e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002305.9-720648,5.7745,-72.11363888888889,0.31,47Tuc,CSC2.1,2.626e-14,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002406.3-720452,6.026541666666667,-72.08135833333333,0.31,47Tuc,CSC2.1,1.225e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002406.4-720430,6.026875,-72.07509166666667,0.31,47Tuc,CSC2.1,7.135e-16,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002407.9-720439,6.0332083333333335,-72.07771111111111,0.31,47Tuc,CSC2.1,1.472e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002404.6-720434,6.019375000000001,-72.07625277777777,0.31,47Tuc,CSC2.1,1.455e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002402.6-720538,6.011083333333334,-72.09406944444444,0.31,47Tuc,CSC2.1,1.246e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002402.0-720133,6.008541666666667,-72.02597222222222,0.31,47Tuc,CSC2.1,1.305e-14,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002403.1-720447,6.012958333333334,-72.07985,0.31,47Tuc,CSC2.1,1.742e-15,0.1581632653061224,0.31,453,52,True,False,False,
2CXO J002406.7-720406,6.027958333333333,-72.06858333333334,0.32,47Tuc,CSC2.1,8.185e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002404.9-720437,6.020583333333334,-72.07703333333333,0.32,47Tuc,CSC2.1,4.577e-16,0.163265306122449,0.32,453,52,True,False,False,
2CXO J002413.7-720334,6.057541666666666,-72.05955555555555,0.32,47Tuc,CSC2.1,1.108e-15,0.163265306122449,0.32,453,52,True,False,False,
