SRCID,name,ra,dec,e_pos,SC_DET_ML,SC_EP_1_FLUX,SC_EP_1_FLUX_ERR,SC_EP_2_FLUX,SC_EP_2_FLUX_ERR,SC_EP_3_FLUX,SC_EP_3_FLUX_ERR,SC_EP_4_FLUX,SC_EP_4_FLUX_ERR,SC_EP_5_FLUX,SC_EP_5_FLUX_ERR,SC_EP_8_FLUX,SC_EP_8_FLUX_ERR,SC_EP_9_FLUX,SC_EP_9_FLUX_ERR,SC_HR1,SC_HR1_ERR,SC_HR2,SC_HR2_ERR,SC_HR3,SC_HR3_ERR,SC_HR4,SC_HR4_ERR,SC_EXTENT,SC_EXT_ERR,SC_EXT_ML,SC_CHI2PROB,SC_FVAR,SC_FVARERR,SC_VAR_FLAG,SC_SUM_FLAG,SC_EP_8_FMIN,SC_EP_8_FMIN_ERR,SC_EP_8_FMAX,SC_EP_8_FMAX_ERR,MJD_FIRST,MJD_LAST,N_DETECTIONS,CONFUSED,WEBPAGE_URL,field,catalog,flux,cat
208272211010048,4XMM J033518.4-283349,53.826837041358026,-28.563657533592732,0.97068524,75.31824,5.063374e-16,1.7324055e-16,3.9246175e-15,3.8829888e-16,9.820726e-16,3.0486746e-16,2.235595e-16,4.666399e-16,7.6863065e-15,5.0265476e-15,1.39529815e-14,5.1746026e-15,7.232298e-15,8.0434243e-16,0.6949742,0.064527504,-0.54476666,0.08393228,-0.7460117,0.17362393,0.92796856,0.11242531,7.805804,1.2682931,12.15567,0.9437514,,,False,3,5.799565e-15,8.364644e-15,2.3254217e-14,1.3011138e-14,58718.703564814816,59090.90646990741,5,False,http://xmm-catalog.irap.omp.eu/source/208272211010048/,ECDFS,4XMMDR14,1.39529815e-14,4XMMDR14
208272317010062,4XMM J033519.2-273125,53.8303155495,-27.523799541209,1.6598749,9.948411,0.0,7.619198e-17,7.3098745e-17,1.7211606e-16,1.0843139e-15,4.736719e-16,1.1723595e-15,8.610353e-16,1.1840005e-14,7.294154e-15,1.825788e-14,7.501479e-15,4.6763346e-15,1.1987168e-15,1.0,0.8527424,0.9728022,0.1217273,-0.1553875,0.234655,0.5077362,0.2434696,0.0,,-0.5772858,,,,False,0,1.825788e-14,7.501479e-15,1.825788e-14,7.501479e-15,59090.41100694444,59090.708553240744,1,False,http://xmm-catalog.irap.omp.eu/source/208272317010062/,ECDFS,4XMMDR14,1.825788e-14,4XMMDR14
208272213010094,4XMM J033520.1-280113,53.833794028487,-28.020316917617,1.96369,9.105594,4.739408e-16,2.6764113e-16,2.5735415e-16,2.874285e-16,0.0,1.75328e-16,5.1345136e-16,8.2017094e-16,9.51974e-16,5.1844786e-15,3.6661504e-15,5.319329e-15,3.6658432e-16,6.3936143e-16,-0.7662278,0.2069475,-1.0,0.5353008,1.0,1.276128,0.4777042,0.6638371,0.0,,-0.5544119,,,,False,0,3.6661504e-15,5.319329e-15,3.6661504e-15,5.319329e-15,58724.96209490741,58725.32895833333,1,False,http://xmm-catalog.irap.omp.eu/source/208272213010094/,ECDFS,4XMMDR14,3.6661504e-15,4XMMDR14
208272301010013,4XMM J033520.4-274654,53.835386327100146,-27.781904524885867,0.4161014,462.0869,7.981057e-16,1.7695107e-16,4.4280337e-15,3.545347e-16,6.6806247e-15,4.7687537e-16,8.508778e-15,9.958015e-16,2.3450034e-14,5.0339795e-15,4.8602524e-14,5.2310214e-15,2.3443809e-14,1.0549504e-15,0.68430656,0.05235853,0.18090978,0.045263287,-0.4145553,0.051105153,0.06628875,0.0878249,0.0,,-0.7328148,0.29903734,0.29851776,0.54160726,False,0,2.1056014e-14,1.612494e-14,7.954449e-14,2.998994e-14,58725.58421296296,59080.708287037036,6,False,http://xmm-catalog.irap.omp.eu/source/208272301010013/,ECDFS,4XMMDR14,4.8602524e-14,4XMMDR14
208272307010090,4XMM J033521.4-275029,53.83934964957,-27.841604788909,2.474758,10.50436,8.643733e-16,3.4797037e-16,2.7986474e-16,2.4515495e-16,9.867029e-16,4.939278e-16,7.150164e-16,8.8726945e-16,4.9040586e-15,9.114161e-15,9.4260605e-15,9.274529e-15,2.8804817e-15,1.0030392e-15,-0.3662904,0.3016617,0.4516173,0.2956065,-0.4635239,0.3921279,0.8939837,0.2753153,0.0,,-0.6817398,,,,False,0,9.4260605e-15,9.274529e-15,9.4260605e-15,9.274529e-15,58900.62900462963,58900.97347222222,1,False,http://xmm-catalog.irap.omp.eu/source/208272307010090/,ECDFS,4XMMDR14,9.4260605e-15,4XMMDR14
208272307010098,4XMM J033521.9-274828,53.841387314468314,-27.807785819654185,0.93946844,15.5668,1.6478265e-16,1.1157188e-16,4.1618122e-16,1.7533104e-16,7.517767e-16,2.5774527e-16,9.731158e-16,5.0374516e-16,7.115415e-15,4.126587e-15,1.1845631e-14,4.2213827e-15,3.1563632e-15,6.048825e-16,0.0702902,0.17167549,0.39927092,0.14285925,-0.40799314,0.15362716,0.22678962,0.23036899,0.0,,-0.5050273,,,,False,0,9.85991e-15,7.0103005e-15,5.4745555e-14,2.6062987e-14,58900.62900462963,59080.708287037036,3,False,http://xmm-catalog.irap.omp.eu/source/208272307010098/,ECDFS,4XMMDR14,1.1845631e-14,4XMMDR14
208272304010068,4XMM J033521.9-282029,53.841649749926,-28.341524353729998,1.7304661,7.107504,5.4574174e-16,3.1643925e-16,1.1485987e-15,5.187456e-16,3.4453875e-16,3.8127915e-16,1.2588831e-15,9.802341e-16,3.9234558e-15,6.2271393e-15,8.56833e-15,6.494222e-15,1.787631e-14,2.6754863e-15,0.06171216,0.2891224,-0.6269902,0.3568491,0.2985217,0.5502546,0.7811217,0.2370174,0.0,,-0.571825,,,,False,1,8.56833e-15,6.494222e-15,8.56833e-15,6.494222e-15,58894.18849537037,58894.590844907405,1,False,http://xmm-catalog.irap.omp.eu/source/208272304010068/,ECDFS,4XMMDR14,8.56833e-15,4XMMDR14
208272301010040,4XMM J033522.1-274716,53.842265079309755,-27.78803450636275,0.60084146,106.0626,1.3022611e-15,2.245486e-16,2.7431624e-15,3.294014e-16,3.1638589e-15,3.9365298e-16,4.9381915e-15,9.080584e-16,2.1802728e-15,2.9054081e-15,1.613899e-14,3.27826e-15,1.15497305e-14,8.7387256e-16,0.34297055,0.0829201,0.0022838088,0.0785035,-0.29570335,0.08749466,-0.5938159,0.15594742,0.0,,5.810692,,,,False,0,1.3585813e-14,4.015687e-15,3.2787676e-14,1.0083979e-14,58725.58421296296,59080.708287037036,5,False,http://xmm-catalog.irap.omp.eu/source/208272301010040/,ECDFS,4XMMDR14,1.613899e-14,4XMMDR14
208272305010064,4XMM J033522.2-281100,53.842738200482,-28.18359373493,1.1767424,33.68462,5.873504e-18,4.8253564e-17,1.6809791e-16,1.3075577e-16,1.2690572e-15,3.247566e-16,2.7666296e-15,7.56585e-16,5.388251e-15,3.262751e-15,1.0586635e-14,3.427836e-15,3.655306e-15,6.3416817e-16,0.6682131,0.2261827,0.6324064,0.1555496,-0.2587768,0.1628057,-0.1716505,0.2310693,0.0,,-0.9517708,,,,False,0,1.0586635e-14,3.427836e-15,1.0586635e-14,3.427836e-15,58898.17637731481,58898.612291666665,1,False,http://xmm-catalog.irap.omp.eu/source/208272305010064/,ECDFS,4XMMDR14,1.0586635e-14,4XMMDR14
208272213010088,4XMM J033522.3-275303,53.842992715755,-27.884417951301053,0.75527155,19.18366,2.3491633e-17,6.659475e-17,2.9196747e-16,1.481829e-16,2.4995335e-15,3.794004e-16,2.5187736e-15,7.265961e-16,1.8606132e-14,5.6618626e-15,2.9164855e-14,5.917214e-15,6.8007005e-15,7.5126274e-16,0.5731664,0.26201415,0.79143906,0.08521728,-0.30038303,0.09784525,0.28149235,0.12508027,0.0,,0.8276424,,,,False,2,2.3165257e-14,9.464056e-15,4.8707386e-14,2.7475738e-14,58724.96209490741,59080.708287037036,5,False,http://xmm-catalog.irap.omp.eu/source/208272213010088/,ECDFS,4XMMDR14,2.9164855e-14,4XMMDR14
208272212010013,4XMM J033522.5-281425,53.84401128681167,-28.24040912579819,0.51457965,695.1791,5.0123153e-15,3.805406e-16,5.86653e-15,4.3578474e-16,5.524119e-15,4.7949963e-16,8.554974e-15,1.0621194e-15,1.2249557e-14,3.7305474e-15,3.804478e-14,4.0158895e-15,2.0426405e-14,1.0618737e-15,0.012270288,0.05145666,-0.099451326,0.05576296,-0.2937644,0.068244725,-0.48161796,0.12170985,0.0,,-1.641907,0.28630602,0.24634492,0.27700922,False,0,3.734377e-14,4.2262997e-15,4.4563755e-14,1.2888056e-14,58721.56105324074,58898.612291666665,2,False,http://xmm-catalog.irap.omp.eu/source/208272212010013/,ECDFS,4XMMDR14,3.804478e-14,4XMMDR14
208272306010046,4XMM J033523.0-275606,53.846162212307995,-27.935150694986,1.3495426,28.36579,1.1182736e-15,3.5560103e-16,1.4254648e-15,4.1545833e-16,4.203292e-16,2.8469627e-16,6.417957e-16,7.50141e-16,4.6900375e-15,4.453248e-15,9.095012e-15,4.5728323e-15,3.586791e-15,9.045635e-16,0.06518006,0.2087725,-0.017160207,0.203025,-0.7876366,0.2738896,0.5008386,0.7345992,0.0,,-0.8924751,,,,False,0,9.095012e-15,4.5728323e-15,9.095012e-15,4.5728323e-15,58898.66365740741,58899.008125,1,False,http://xmm-catalog.irap.omp.eu/source/208272306010046/,ECDFS,4XMMDR14,9.095012e-15,4XMMDR14
208272306010076,4XMM J033523.2-275212,53.846719223349,-27.870083969679996,2.029702,8.665401,4.0848897e-16,3.2952223e-16,7.9420027e-16,4.4319718e-16,1.2406165e-15,6.614791e-16,3.5539197e-16,8.373324e-16,3.2323576e-15,7.107435e-15,9.342788e-15,7.320124e-15,3.3661593e-15,1.2623697e-15,0.03786544,0.3111399,-0.031199276,0.3299883,-0.8270364,0.3133236,0.2593997,0.81165,0.0,,-0.6260061,,,,False,0,9.342788e-15,7.320124e-15,9.342788e-15,7.320124e-15,58898.66365740741,58899.008125,1,False,http://xmm-catalog.irap.omp.eu/source/208272306010076/,ECDFS,4XMMDR14,9.342788e-15,4XMMDR14
208272212010002,4XMM J033523.4-280723,53.84781105570314,-28.12324873051496,0.27203053,11738.5,9.916367e-14,1.7819811e-15,9.9567185e-14,1.8781408e-15,9.349323e-14,1.9756914e-15,1.03757904e-13,3.6507065e-15,2.1103388e-13,1.563435e-14,6.10064e-13,1.6446903e-14,3.3170453e-13,4.3597307e-15,-0.03534555,0.012750744,-0.08467534,0.013601067,-0.43812743,0.01615857,-0.33168077,0.03501779,0.0,,-3.508301,0.09640895,0.18148653,0.072845034,False,0,5.1199637e-13,2.9532e-14,8.101674e-13,4.7001807e-14,58721.56105324074,59080.330972222226,4,False,http://xmm-catalog.irap.omp.eu/source/208272212010002/,ECDFS,4XMMDR14,6.10064e-13,4XMMDR14
208272306010066,4XMM J033523.6-280010,53.84843509594639,-28.00283383287356,1.1013598,14.6748,7.834165e-16,2.504108e-16,7.134533e-16,2.480111e-16,7.3260277e-16,2.6542648e-16,4.517672e-16,4.6039777e-16,2.1809398e-15,2.9820466e-15,7.138492e-15,3.1713286e-15,2.8844678e-15,6.6066865e-16,-0.22758667,0.20732954,0.13623288,0.19026922,-0.49410933,0.20146863,-0.44259316,0.36787376,0.0,,-0.5615015,,,,False,0,5.852663e-15,4.4732805e-15,8.43781e-15,4.4966828e-15,58898.66365740741,59080.330972222226,2,False,http://xmm-catalog.irap.omp.eu/source/208272306010066/,ECDFS,4XMMDR14,7.138492e-15,4XMMDR14
