name,obsid,sourcenum,ra,dec,e_pos,lii,bii,hr1,hr1_err,date_obs,date_end,scts_b8,scts_b8_err,scts_b7,scts_b7_err,scts_b6,scts_b6_err,x_ima_b8,y_ima_b8,x_ima_b7,y_ima_b7,x_ima_b6,y_ima_b6,ext_b8,ext_b8_err,ext_b7,ext_b7_err,ext_b6,ext_b6_err,det_ml_b8,det_ml_b7,det_ml_b6,ext_ml_b8,ext_ml_b7,ext_ml_b6,bg_map_b8,bg_map_b7,bg_map_b6,exp_map_b8,exp_map_b7,exp_map_b6,flux_b8,flux_b8_err,flux_b7,flux_b7_err,flux_b6,flux_b6_err,rate_b8,rate_b8_err,rate_b7,rate_b7_err,rate_b6,rate_b6_err,ra_b8,dec_b8,radec_b8_err,lii_b8,bii_b8,ra_b7,dec_b7,radec_b7_err,lii_b7,bii_b7,ra_b6,dec_b6,radec_b6_err,lii_b6,bii_b6,cutrad_b8,cutrad_b7,cutrad_b6,eef_b8,eef_b7,eef_b6,dist_nn_b8,dist_nn_b7,dist_nn_b6,val_flag,srcname_b8,srcname_b7,srcname_b6,ximname_b8,ximname_b7,ximname_b6,ver_inext,ver_halo,ver_hibgnd,ver_nredg,ver_psusp,ver_false,flag_comment,ident,altident,rassname,id_category,id_resource,id_dist,rass_dist,mode_id,image_bg_rate,mjd_start,mjd_stop,ver_optload,filt_cnts,unfilt_cnts,us_xmmsl1,us_extras,field,catalog,flux,cat
XMMSL3 J023440.9+072451,9342000003,52,38.670465,7.414148,4.154884,162.532302,-47.362996,,,2018-08-12T03:49:50,2018-08-12T05:25:25,4.71,2.34,3.98,2.08,,,744.86,1153.67,744.94,1153.38,,,0.0,0.0,0.0,0.0,,,9.91,10.41,,-999.0,-999.0,,0.002565,0.001683,,3.88,3.32,,3.82239,1.8954,10.9728,5.76072,,,1.21,0.6,1.2,0.63,,,38.670553,7.414475,4.479592,162.532131,-47.362678,38.670465,7.414148,4.154884,162.532302,-47.362996,,,,,,36.0,36.0,,0.9813,0.9813,,4688.9346,4687.4238,,,xs3420_9342000003_02:34:40.9+07:24:52   ,xs3420_9342000003_02:34:40.9+07:24:51   ,,P9342000003PNS003IMAGE_805c.ds          ,P9342000003PNS003IMAGE_705c.ds          ,,f,f,f,f,f,f,,,,,,,,,FF ,1.9,58342.15960648148,58342.2259837963,f,5.0,10.0,,,SV_38_7,XMMSL3,3.82239e-12,XMMSL3
XMMSL3 J003124.9-723533,9215600004,1,7.853870437452,-72.59239866419,4.156829,305.0276381712,-44.45428738829,,,2011-09-18T05:11:55,2011-09-18T05:11:55,,,4.957258,2.544152,,,,,871.3975,305.0237,,,,,0.0,0.0,,,,8.226816,,,-999.0,,,0.002647572,,,18.69009,,,,2.4253051824,1.244708712,,,,,0.2652346,0.136123,,,,,,,,7.853870437452,-72.59239866419,4.156829,305.0276381712,-44.45428738829,,,,,,,36.0,,,0.9973131,,,0.2520446,,,,xs2156_9215600004_00:31:24.9-72:35:33   ,,,P9215600004PNS003IMAGE_7002.FTZ         ,,f,f,f,f,f,f,,,,,,,,,eFF,6.3,55822.2166087963,55822.2166087963,f,8.0,15.0,,,47Tuc,XMMSL3,,XMMSL3
XMMSL3 J033047.3-282552,9350300003,100,52.696916,-28.431024,4.248016,224.549512,-54.891236,,,2019-01-25T02:07:12,2019-01-25T02:47:57,,,,,3.65,2.09,,,,,444.44,249.76,,,,,0.0,0.0,,,9.58,,,-999.0,,,0.000722,,,30.55,,,,,0.1723199999999999,0.10052,,,,,0.12,0.07,,,,,,,,,,,52.696916,-28.431024,4.248016,224.549512,-54.891236,,,36.0,,,0.9813,,,693.9365,,,,xs3503_9350300003_03:30:47.3-28:25:52   ,,,P9350300003PNS003IMAGE_6000.ds          ,f,f,f,f,f,f,,,,,,,,,FF ,1.9,58508.08833333333,58508.116631944446,f,5.0,20.0,,,ECDFS,XMMSL3,,XMMSL3
XMMSL3 J033247.8-272658,9385900004,25,53.199371,-27.449382,4.297283,222.98346,-54.310052,,,2021-01-04T00:00:18,2021-01-04T00:53:40,3.82,2.13,,,,,378.05,421.02,,,,,0.0,0.0,,,,,10.65,,,-1.16,,,0.000964,,,11.34,,,1.07406,0.60021,,,,,0.34,0.19,,,,,53.199371,-27.449382,4.297283,222.98346,-54.310052,,,,,,,,,,,36.0,,,0.9813,,,410000.0,,,,xs3859_9385900004_03:32:47.8-27:26:58   ,,,P9385900004PNS003IMAGE_8003.ds          ,,,f,f,f,f,f,f,,,,,,,,,FF ,3.6,59218.00020833333,59218.03726851852,f,5.0,14.0,,,ECDFS,XMMSL3,1.07406e-12,XMMSL3
XMMSL3 J033246.5-283929,9350600002,3,53.19393,-28.658192,4.389947,225.037462,-54.487899,,,2019-01-30T09:09:10,2019-01-30T10:37:03,4.12,2.07,,,,,167.29,38.25,,,,,0.0,0.0,,,,,13.25,,,-999.0,,,0.001068,,,23.11,,,0.5686199999999999,0.2843099999999999,,,,,0.18,0.09,,,,,53.19393,-28.658192,4.389947,225.037462,-54.487899,,,,,,,,,,,36.0,,,0.9813,,,1674.7482,,,CLEAN_SAMPLE,xs3506_9350600002_03:32:46.5-28:39:29   ,,,P9350600002PNS003IMAGE_8000.ds          ,,,f,f,f,f,f,f,,4XMM J033247.2-283926                   ,,,X                   ,4XMM      ,10.320387482298338,,FF ,2.4,58513.38136574074,58513.442395833335,f,4.0,8.0,,,ECDFS,XMMSL3,5.686199999999999e-13,XMMSL3
XMMSL3 J024025.5-335511,9385500002,36,40.106165,-33.919794,4.406291,235.801357,-65.649252,,,2020-12-27T00:36:43,2020-12-27T01:48:40,9.46,3.83,,,5.59,2.63,526.14,728.53,,,525.33,728.97,0.0,0.0,,,0.0,0.0,10.59,,11.44,0.36,,-1.19,0.008391,,0.002204,2.99,,3.72,10.01403,4.04352,,,2.154,1.0195599999999998,3.17,1.28,,,1.5,0.71,40.105062,-33.92029,5.665252,235.802886,-65.65008,,,,,,40.106165,-33.919794,4.406291,235.801357,-65.649252,36.0,,36.0,0.9813,,0.9813,1759.886,,410000.0,,xs3855_9385500002_02:40:25.2-33:55:13   ,,xs3855_9385500002_02:40:25.5-33:55:11   ,P9385500002PNS003IMAGE_801e.ds          ,,P9385500002PNS003IMAGE_601e.ds          ,f,f,t,f,f,f,,,,,,,,,PLW,1.9,59210.02549768519,59210.07546296297,f,16.0,17.0,,,Fornax_dSph,XMMSL3,1.001403e-11,XMMSL3
XMMSL3 J002325.7-722409,9254300002,2,5.857150608887,-72.40253990432,4.441854,305.8972176348,-44.5640917155,,,2013-10-28T01:50:24,2013-10-28T01:50:24,5.585598,2.774718,,,6.84175,2.931444,992.6813,544.0112,,,992.7932,543.9464,0.0,0.0,,,0.0,0.0,10.33512,,16.68042,-999.0,,-999.0,0.001149104,,0.0002924943,8.514477,,9.277757,2.0723412762,1.0294625016,,,1.0589578088,0.4537254528,0.6560118,0.3258824,,,0.7374358,0.3159648,5.857577180581,-72.40246882308,4.622891,305.8970539268,-44.56418160659,,,,,,5.857150608887,-72.40253990432,4.441854,305.8972176348,-44.5640917155,36.0,,36.0,0.9970679,,0.9970614,0.2782228,,0.2781908,CLEAN_SAMPLE,xs2543_9254300002_00:23:25.8-72:24:09   ,,xs2543_9254300002_00:23:25.7-72:24:09   ,P9254300002PNS003IMAGE_8006.FTZ         ,,P9254300002PNS003IMAGE_6006.FTZ         ,f,f,f,f,f,f,,2E 81                                   ,,,X                   ,Einstein  ,41.160055,,FF ,3.9,56593.07666666667,56593.07666666667,f,6.0,12.0,,374928.0,47Tuc,XMMSL3,2.0723412762e-12,XMMSL3
XMMSL3 J033452.7-280001,9361000004,40,53.71956,-28.000356,4.444316,224.032389,-53.938893,,,2019-08-26T21:57:06,2019-08-26T22:46:35,,,4.23,2.45,,,,,100.41,376.42,,,,,0.0,0.0,,,,9.34,,,-999.0,,,0.000697,,,36.48,,,,1.09728,0.6400800000000001,,,,,0.12,0.07,,,,,,,,53.71956,-28.000356,4.444316,224.032389,-53.938893,,,,,,,36.0,,,0.9813,,,410000.0,,,,xs3610_9361000004_03:34:52.7-28:00:01   ,,,P9361000004PNS003IMAGE_7000.ds          ,,f,f,f,f,f,f,,,,,,,,,FF ,2.1,58721.91465277778,58721.9490162037,f,6.0,10.0,,,ECDFS,XMMSL3,,XMMSL3
XMMSL3 J023204.0+072604,9131100003,17,38.01692503434,7.434430825079,4.486924,161.7246645642,-47.71388473645,,,2007-02-05T08:02:52,2007-02-05T08:02:52,4.072724,2.058596,,,4.276175,2.125479,550.4277,1055.483,,,550.4264,1055.438,0.0,0.0,,,0.0,0.0,14.71458,,20.08478,-999.0,,-999.0,0.000502466,,0.0001320963,6.062952,,7.05545,2.1220247646,1.0725970670999998,,,0.8703324596,0.4325998823999999,0.6717394,0.3395369,,,0.6060811,0.3012534,38.01692344311,7.434483055125,4.525211,161.7246189746,-47.71384243324,,,,,,38.01692503434,7.434430825079,4.486924,161.7246645642,-47.71388473645,36.0,,36.0,0.9970668,,0.9970652,0.2269028,,0.2269162,CLEAN_SAMPLE,xs1311_9131100003_02:32:04.0+07:26:04   ,,xs1311_9131100003_02:32:04.0+07:26:04   ,P9131100003PNS003IMAGE_8028.FTZ         ,,P9131100003PNS003IMAGE_6028.FTZ         ,f,f,f,f,f,f,,1RXS J023204.1+072611                   ,,J023204.1+072611                        ,X                   ,Simbad    ,7.071643,7.026,FF ,2.9,54136.33532407408,54136.33532407408,f,4.0,5.0,XMMSL1 J023204.0+072602                 ,417226.0,SV_38_7,XMMSL3,2.1220247645999997e-12,XMMSL3
XMMSL3 J001802.0-723208,9245000002,2,4.508713142986,-72.53552592393,4.493262,306.4273519161,-44.36531808628,,,2013-04-25T23:37:16,2013-04-25T23:37:16,3.628938,2.038442,,,,,556.3538,668.9018,,,,,0.0,0.0,,,,,10.88187,,,-999.0,,,0.0004679544,,,6.482574,,,1.768405041,0.9933459705,,,,,0.559799,0.3144495,,,,,4.508713142986,-72.53552592393,4.493262,306.4273519161,-44.36531808628,,,,,,,,,,,36.0,,,0.9855849,,,0.382353,,,,xs2450_9245000002_00:18:02.0-72:32:08   ,,,P9245000002PNS003IMAGE_8037.FTZ         ,,,f,f,f,f,f,f,,Gaia DR2 4689588414428253184            ,,,Star                ,Simbad    ,11.991678,,FF ,15.1,56407.98421296296,56407.98421296296,f,3.0,9.0,,,47Tuc,XMMSL3,1.768405041e-12,XMMSL3
