name,ra_,dec_,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper90_b,flux_aper90_lolim_b,flux_aper90_hilim_b,flux_aper90_h,flux_aper90_lolim_h,flux_aper90_hilim_h,flux_aper90_m,flux_aper90_avg_b,flux_aper90_avg_lolim_b,flux_aper90_avg_hilim_b,dither_warning_flag,extent_flag,pileup_flag,var_flag,var_inter_hard_flag,man_add_flag,man_inc_flag,man_match_flag,man_pos_flag,man_reg_flag,likelihood,flux_aper90_avg_h,flux_aper90_avg_lolim_h,flux_aper90_avg_hilim_h,flux_aper90_avg_m,flux_aper90_avg_lolim_m,flux_aper90_avg_hilim_m,flux_aper90_avg_s,flux_aper90_avg_lolim_s,flux_aper90_avg_hilim_s,flux_aper90_avg_u,flux_aper90_avg_lolim_u,flux_aper90_avg_hilim_u,flux_aper90_avg_w,flux_aper90_avg_lolim_w,flux_aper90_avg_hilim_w,flux_aper90_lolim_m,flux_aper90_hilim_m,flux_aper90_s,flux_aper90_lolim_s,flux_aper90_hilim_s,flux_aper90_u,flux_aper90_lolim_u,flux_aper90_hilim_u,flux_aper90_w,flux_aper90_lolim_w,flux_aper90_hilim_w,flux_aper_avg_hilim_w,ra,dec,e_pos,field,catalog,flux,cat
2CXO J002408.5-720456, 00 24 08.54,-72 04 56.31,0.53,0.49,177.4,2.95,                TRUE,FALSE,FALSE,FALSE,5.906e-17,0.000e+00,1.726e-16,         ,         ,         ,8.176e-17,6.813e-18,1.567e-16,         ,         ,2.873e-16,1.680e-16,4.011e-16,3.451e-17,0.000e+00,2.358e-16,1.101e-16,2.111e-16,1.335e-16,2.886e-16,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,40.41857,9.095e-17,0.000e+00,2.072e-16,7.882e-17,4.626e-17,1.114e-16,1.184e-16,7.891e-17,1.556e-16,4.833e-17,1.098e-17,8.567e-17,         ,         ,         ,6.115e-17,1.559e-16,1.399e-16,8.584e-17,1.908e-16,0.000e+00,0.000e+00,5.784e-17,         ,         ,         ,         ,6.035583333333333,-72.08230833333333,0.53,47Tuc,CSC2.1,2.111e-16,CSC2.1
2CXO J002408.5-720535, 00 24 08.60,-72 05 35.18,0.31,0.3,5.1,8.39,                TRUE,FALSE,FALSE,FALSE,1.324e-15,1.151e-15,1.484e-15,         ,         ,         ,1.164e-15,1.013e-15,1.306e-15,         ,         ,1.405e-15,1.224e-15,1.573e-15,2.576e-16,1.178e-16,3.975e-16,4.525e-16,1.230e-15,1.073e-15,1.376e-15,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,357.3663,2.623e-16,1.312e-16,3.866e-16,3.524e-16,2.683e-16,4.313e-16,6.169e-16,5.215e-16,7.064e-16,4.363e-16,3.026e-16,5.700e-16,         ,         ,         ,3.380e-16,5.614e-16,7.396e-16,6.268e-16,8.453e-16,4.771e-16,3.376e-16,6.166e-16,         ,         ,         ,         ,6.035833333333334,-72.09310555555555,0.31,47Tuc,CSC2.1,1.23e-15,CSC2.1
2CXO J002408.5-720708, 00 24 08.60,-72 07 08.47,0.44,0.39,168.1,3.95,                TRUE,FALSE,FALSE,FALSE,5.094e-16,3.661e-16,6.527e-16,         ,         ,         ,5.094e-16,3.661e-16,6.527e-16,         ,         ,3.926e-16,2.856e-16,4.938e-16,2.417e-16,7.769e-17,3.971e-16,1.307e-16,3.926e-16,2.856e-16,4.938e-16,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,35.57562,2.417e-16,7.769e-17,3.971e-16,1.307e-16,7.706e-17,1.843e-16,1.616e-16,1.053e-16,2.155e-16,0.000e+00,0.000e+00,5.948e-17,         ,         ,         ,7.706e-17,1.843e-16,1.616e-16,1.053e-16,2.155e-16,0.000e+00,0.000e+00,5.948e-17,         ,         ,         ,         ,6.035833333333334,-72.11901944444443,0.44,47Tuc,CSC2.1,3.926e-16,CSC2.1
2CXO J002408.6-720449, 00 24 08.68,-72 04 49.59,0.34,0.33,14.6,4.87,                TRUE, TRUE,FALSE,FALSE,4.665e-16,3.289e-16,6.042e-16,         ,         ,         ,4.417e-16,3.490e-16,5.343e-16,         ,         ,4.096e-16,3.058e-16,5.133e-16,1.584e-16,7.201e-18,3.096e-16,9.805e-17,4.017e-16,3.204e-16,4.782e-16,FALSE,FALSE,FALSE,FALSE, TRUE,FALSE,False,FALSE,FALSE,FALSE,62.24187,1.262e-16,2.629e-17,2.261e-16,9.160e-17,5.534e-17,1.259e-16,2.481e-16,1.957e-16,3.006e-16,0.000e+00,0.000e+00,4.424e-17,         ,         ,         ,4.777e-17,1.483e-16,2.791e-16,2.084e-16,3.460e-16,0.000e+00,0.000e+00,8.366e-17,         ,         ,         ,         ,6.0361666666666665,-72.08044166666666,0.34,47Tuc,CSC2.1,4.017e-16,CSC2.1
2CXO J002408.7-720507, 00 24 08.77,-72 05 07.67,0.3,0.3,177.8,7.6,                TRUE,FALSE,FALSE,FALSE,7.453e-16,5.924e-16,8.886e-16,         ,         ,         ,1.579e-15,1.409e-15,1.736e-15,         ,         ,7.673e-16,6.178e-16,9.068e-16,1.487e-16,0.000e+00,2.919e-16,2.396e-16,1.608e-15,1.435e-15,1.769e-15,FALSE,FALSE,FALSE, TRUE, TRUE,FALSE,False,FALSE,FALSE,FALSE,216.4642,7.472e-16,5.321e-16,9.510e-16,3.221e-16,2.559e-16,3.883e-16,7.216e-16,6.274e-16,8.158e-16,2.458e-16,1.446e-16,3.470e-16,         ,         ,         ,1.608e-16,3.148e-16,3.946e-16,3.074e-16,4.772e-16,2.561e-16,1.309e-16,3.755e-16,         ,         ,         ,         ,6.0365416666666665,-72.08546388888888,0.3,47Tuc,CSC2.1,1.608e-15,CSC2.1
2CXO J002409.2-720428, 00 24 09.20,-72 04 28.87,0.32,0.31,17.0,5.84,                TRUE,FALSE,FALSE,FALSE,8.193e-16,6.812e-16,9.574e-16,         ,         ,         ,7.044e-16,5.764e-16,8.245e-16,         ,         ,7.145e-16,6.070e-16,8.148e-16,0.000e+00,0.000e+00,8.041e-17,2.421e-16,6.610e-16,5.631e-16,7.525e-16, TRUE,FALSE,FALSE, TRUE, TRUE,FALSE,False,FALSE,FALSE,FALSE,136.2514,         ,         ,         ,2.363e-16,1.823e-16,2.870e-16,4.576e-16,3.833e-16,5.272e-16,2.963e-16,1.905e-16,3.968e-16,         ,         ,         ,1.852e-16,2.955e-16,5.154e-16,4.322e-16,5.934e-16,2.819e-16,1.775e-16,3.863e-16,         ,         ,         ,         ,6.038333333333333,-72.0746861111111,0.32,47Tuc,CSC2.1,6.61e-16,CSC2.1
2CXO J002409.2-720511, 00 24 09.30,-72 05 11.10,0.35,0.34,165.5,3.63,                TRUE,FALSE,FALSE,FALSE,2.072e-16,8.808e-17,3.264e-16,         ,         ,         ,1.862e-16,9.755e-17,2.705e-16,         ,         ,3.712e-16,2.644e-16,4.729e-16,1.066e-16,0.000e+00,2.188e-16,1.506e-16,3.151e-16,2.311e-16,3.991e-16,FALSE,FALSE,FALSE, TRUE, TRUE,FALSE,False,FALSE,FALSE,FALSE,54.25179,0.000e+00,0.000e+00,1.677e-16,1.218e-16,7.550e-17,1.656e-16,1.261e-16,8.484e-17,1.651e-16,6.647e-17,6.330e-18,1.234e-16,         ,         ,         ,9.154e-17,2.097e-16,1.508e-16,9.622e-17,2.028e-16,6.747e-17,6.747e-18,1.282e-16,         ,         ,         ,         ,6.03875,-72.08641666666666,0.35,47Tuc,CSC2.1,3.151e-16,CSC2.1
2CXO J002409.2-720543, 00 24 09.24,-72 05 43.90,0.31,0.3,76.7,10.21,                TRUE,FALSE,FALSE,FALSE,8.872e-16,6.172e-16,1.157e-15,         ,         ,         ,2.632e-15,2.365e-15,2.882e-15,         ,         ,1.055e-15,7.844e-16,1.326e-15,7.944e-16,3.227e-16,1.241e-15,2.148e-16,2.556e-15,2.293e-15,2.801e-15,FALSE,FALSE,FALSE, TRUE, TRUE,FALSE,False,FALSE,FALSE,FALSE,463.914,1.789e-15,1.431e-15,2.146e-15,5.574e-16,4.611e-16,6.538e-16,6.435e-16,5.465e-16,7.344e-16,2.586e-16,1.521e-16,3.651e-16,         ,         ,         ,8.707e-17,3.425e-16,3.022e-16,1.943e-16,4.101e-16,2.775e-16,4.827e-17,4.947e-16,         ,         ,         ,         ,6.0385,-72.09552777777778,0.31,47Tuc,CSC2.1,2.556e-15,CSC2.1
2CXO J002409.5-720453, 00 24 09.53,-72 04 53.79,0.44,0.43,68.5,2.7,                TRUE,FALSE,FALSE,FALSE,1.820e-16,8.623e-17,2.731e-16,         ,         ,         ,1.853e-16,1.053e-16,2.611e-16,         ,         ,1.824e-16,9.847e-17,2.626e-16,0.000e+00,0.000e+00,1.085e-16,0.000e+00,1.819e-16,1.133e-16,2.506e-16,FALSE,FALSE,FALSE,FALSE, TRUE, TRUE,False,FALSE,FALSE,FALSE,34.52972,1.200e-16,2.087e-17,2.140e-16,0.000e+00,0.000e+00,3.863e-17,8.828e-17,5.712e-17,1.194e-16,4.320e-17,0.000e+00,8.868e-17,         ,         ,         ,0.000e+00,4.926e-17,1.084e-16,6.638e-17,1.482e-16,3.301e-17,0.000e+00,8.045e-17,         ,         ,         ,         ,6.039708333333334,-72.08160833333334,0.44,47Tuc,CSC2.1,1.819e-16,CSC2.1
2CXO J002409.5-720504, 00 24 09.54,-72 05 04.77,0.33,0.32,75.0,4.59,                TRUE,FALSE,FALSE,FALSE,4.066e-16,3.182e-16,4.950e-16,         ,         ,         ,3.949e-16,3.137e-16,4.760e-16,         ,         ,4.817e-16,3.841e-16,5.729e-16,9.387e-17,0.000e+00,1.920e-16,1.171e-16,4.646e-16,3.791e-16,5.500e-16,FALSE,FALSE,FALSE, TRUE, TRUE,FALSE,False,FALSE,FALSE,FALSE,92.85497,1.572e-16,6.670e-17,2.477e-16,1.099e-16,7.328e-17,1.445e-16,3.121e-16,2.488e-16,3.754e-16,7.706e-17,2.345e-17,1.307e-16,         ,         ,         ,7.348e-17,1.584e-16,3.866e-16,3.082e-16,4.597e-16,7.750e-17,2.022e-17,1.314e-16,         ,         ,         ,         ,6.03975,-72.08465833333332,0.33,47Tuc,CSC2.1,4.646e-16,CSC2.1
